,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Freeport,40.66,-73.58,70.0,83,1,10.29,US,1601344686
1,Faanui,-16.48,-151.75,77.76,81,2,19.33,PF,1601344746
2,Tasiilaq,65.61,-37.64,30.2,100,98,1.12,GL,1601344746
3,Hermanus,-34.42,19.23,46.99,94,38,7.34,ZA,1601344747
4,Punta Arenas,-53.15,-70.92,32.0,90,20,10.29,CL,1601344730
5,Albany,42.6,-73.97,71.01,92,0,1.01,US,1601344702
6,Hobart,-42.88,147.33,62.01,54,20,4.7,AU,1601344591
7,Castro,-24.79,-50.01,62.91,92,0,2.26,BR,1601344747
8,San Cristobal,7.77,-72.22,66.22,89,79,2.04,VE,1601344576
9,Sibi,29.54,67.88,81.5,31,0,1.81,PK,1601344748
10,Ruteng,-8.61,120.47,77.92,60,3,1.88,ID,1601344748
11,Mataura,-46.19,168.86,39.0,71,97,23.0,NZ,1601344749
12,Arraial do Cabo,-22.97,-42.03,75.2,88,79,6.93,BR,1601344749
13,Jamestown,42.1,-79.24,73.0,64,75,10.29,US,1601344708
14,Carnarvon,-24.87,113.63,69.8,56,0,17.22,AU,1601344750
15,Ocosingo,17.07,-92.25,66.24,97,73,2.42,MX,1601344750
16,Torbay,47.67,-52.73,64.99,100,90,21.92,CA,1601344751
17,Rikitea,-23.12,-134.97,71.22,87,98,19.95,PF,1601344751
18,Departamento de Maldonado,-34.67,-54.92,50.0,81,0,3.36,UY,1601344752
19,Ust-Tsilma,65.44,52.15,45.01,95,83,4.9,RU,1601344752
20,Port Alfred,-33.59,26.89,54.82,73,9,16.69,ZA,1601344753
21,Chokurdakh,70.63,147.92,43.14,68,10,5.41,RU,1601344753
22,Bluff,-46.6,168.33,39.0,71,100,23.0,NZ,1601344753
23,Ushuaia,-54.8,-68.3,32.0,92,40,11.41,AR,1601344754
24,Kimbe,-5.55,150.14,89.6,51,6,3.15,PG,1601344754
25,Port Lincoln,-34.73,135.87,61.09,75,100,16.69,AU,1601344754
26,San Patricio,19.22,-104.7,84.2,74,75,9.17,MX,1601344755
27,Beringovskiy,63.05,179.32,44.69,62,0,2.98,RU,1601344755
28,Puerto Ayora,-0.74,-90.35,69.01,86,97,5.01,EC,1601344756
29,Geraldton,-28.77,114.6,68.0,56,40,5.82,AU,1601344756
30,Pisco,-13.7,-76.22,63.0,82,0,12.75,PE,1601344757
31,Kattivākkam,13.22,80.32,77.0,88,75,11.41,IN,1601344757
32,Isangel,-19.55,169.27,80.6,83,75,9.17,VU,1601344757
33,Natal,-5.79,-35.21,75.2,88,20,5.82,BR,1601344496
34,Barrow,71.29,-156.79,30.2,80,90,10.29,US,1601344758
35,Rocha,-34.48,-54.33,47.03,81,0,5.03,UY,1601344758
36,Hilo,19.73,-155.09,86.0,62,1,12.75,US,1601344759
37,Codrington,-38.27,141.97,62.56,66,100,15.3,AU,1601344759
38,Olafsvik,64.89,-23.71,37.56,82,95,16.08,IS,1601344759
39,Kumul,42.8,93.45,60.96,30,54,5.53,CN,1601344760
40,Bilma,18.69,12.92,87.49,13,51,4.14,NE,1601344760
41,Mahébourg,-20.41,57.7,71.6,88,40,9.17,MU,1601344761
42,Hofn,64.25,-15.21,43.36,79,42,9.95,IS,1601344761
43,Lorengau,-2.02,147.27,85.28,68,9,9.73,PG,1601344761
44,Airai,-8.93,125.41,78.6,38,0,5.68,TL,1601344762
45,Souillac,-20.52,57.52,71.6,88,40,9.17,MU,1601344762
46,Tsabong,-26.02,22.4,48.78,41,0,10.76,BW,1601344762
47,Flinders,-34.58,150.86,64.0,62,40,10.0,AU,1601344763
48,Tuktoyaktuk,69.45,-133.04,35.6,93,90,9.17,CA,1601344764
49,Vaini,-21.2,-175.2,80.6,78,40,10.29,TO,1601344764
50,Songjianghe,42.19,127.48,48.87,93,100,4.27,CN,1601344765
